index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-19-22:04:54,100,100,100,-76,-88,100,-86,-95,100,-76,-84,-85,100,100,-97,-91,100,-86,-83,-87,-79,100,-84,-58,100,100,2
1,2022-07-19-22:04:59,100,100,100,-76,-96,100,-96,100,100,-76,-82,-85,100,100,100,-96,100,-94,100,-88,-82,100,-87,-68,100,100,2
2,2022-07-19-22:05:04,100,100,100,-71,-91,100,-87,100,100,-68,-79,-90,100,100,100,100,100,-88,100,-82,-87,100,100,-54,100,100,2
3,2022-07-19-22:05:09,100,100,100,-85,100,100,100,100,100,-86,-92,-88,100,100,100,100,100,-92,-94,-87,-82,100,-90,100,100,100,2
4,2022-07-19-22:05:14,100,100,100,-82,-88,100,-91,100,100,-68,-83,-84,100,100,-93,-93,100,-85,-95,-87,-83,100,-89,-53,100,100,2
5,2022-07-19-22:05:19,100,100,100,-72,-90,100,-91,100,100,-66,-82,-85,100,100,-93,-93,100,-82,-83,-83,-82,100,-95,-57,100,100,2
6,2022-07-19-22:05:24,100,100,100,-87,-89,100,-96,100,100,-88,-96,-88,100,100,100,-96,100,-92,-95,-87,-82,100,100,-61,100,100,2
7,2022-07-19-22:05:29,100,100,100,-71,-88,100,-90,100,100,-66,-82,-87,100,100,100,-91,100,-82,100,-82,-82,100,100,-57,100,100,2
8,2022-07-19-22:05:34,100,100,100,-86,-90,100,-94,100,100,-87,-96,-88,100,100,100,-93,100,-90,-98,-87,-83,100,-90,-61,100,100,2
9,2022-07-19-22:05:39,100,100,100,-69,-90,100,-96,100,100,-69,-80,-84,100,100,-91,-93,100,-82,-94,-85,-83,100,100,-53,100,100,2
10,2022-07-19-22:05:44,100,100,100,-71,-91,100,-92,-98,100,-66,-82,-86,100,100,100,100,100,-82,-84,-82,-82,100,-87,-57,100,100,2
11,2022-07-19-22:05:49,100,100,100,100,-93,100,-91,100,100,100,-80,-86,100,100,100,100,100,100,100,100,100,100,100,-53,100,100,2
12,2022-07-19-22:05:54,100,100,100,-69,-88,100,-90,100,100,-65,-82,-83,100,100,100,-93,100,-83,-83,-82,-82,100,-92,-58,100,100,2
13,2022-07-19-22:05:59,100,100,100,-86,-88,100,-94,-96,100,-89,-96,-88,100,100,100,-99,100,-90,-83,-87,-82,100,100,-61,100,100,2
14,2022-07-19-22:06:04,100,100,100,-69,-90,100,-92,-98,100,-69,-81,-84,100,100,-94,-92,100,-81,-96,-84,-87,100,-91,-53,100,100,2
15,2022-07-19-22:06:09,100,100,100,-86,100,100,100,100,100,-87,-96,-89,100,100,100,-96,100,-90,100,-87,-83,100,-91,-53,100,100,2
16,2022-07-19-22:06:14,100,100,100,-69,-90,100,-93,100,100,-69,-81,-84,100,100,-94,-96,100,-81,-94,-85,-86,100,-93,-53,100,100,2
17,2022-07-19-22:06:19,100,100,100,-71,-88,100,-89,100,100,-66,-82,-85,100,100,-93,-92,100,-81,-82,-82,-82,100,-92,-57,100,100,2
18,2022-07-19-22:06:24,100,100,100,-85,-88,100,-96,100,100,-87,-96,-88,100,100,100,-99,100,-91,-94,-87,-83,100,-90,-61,100,100,2
19,2022-07-19-22:06:29,100,100,100,-71,100,100,100,100,100,100,100,-84,100,100,100,-92,100,-91,-93,100,-83,100,-90,-61,100,100,2
20,2022-07-19-22:06:34,100,100,100,-86,-88,100,-90,100,100,-89,-82,-88,100,100,100,-97,100,-91,-95,-87,-83,100,-94,-61,100,100,2
21,2022-07-19-22:06:39,100,100,100,-69,-91,100,-92,100,100,-69,-81,-84,100,100,-92,-97,100,-81,-93,-85,-86,100,-91,-53,100,100,2
22,2022-07-19-22:06:44,100,100,100,-72,-88,100,-89,100,100,-65,-82,-84,100,100,-92,-92,100,-81,-82,-82,-82,100,100,-57,100,100,2
23,2022-07-19-22:06:49,100,100,100,100,-88,100,100,100,100,-66,-82,-85,100,100,100,-92,100,-82,-82,100,-82,100,100,100,100,100,2
24,2022-07-19-22:06:54,100,100,100,-72,-90,100,-88,100,100,-65,-82,-84,100,100,-93,-91,100,-81,-83,-82,-82,100,-94,-53,100,100,2
25,2022-07-19-22:06:59,100,100,100,-86,-88,100,-89,100,100,-87,-97,-87,100,100,100,-97,100,-81,-94,-87,-83,100,-89,-61,100,100,2
26,2022-07-19-22:07:04,100,100,100,-69,-88,100,-94,100,100,-69,-81,-84,100,100,-93,-97,100,-81,-97,-84,-86,100,-92,-53,100,100,2
27,2022-07-19-22:07:09,100,100,100,-69,-92,100,100,100,100,-69,-81,-84,100,100,100,100,100,-81,100,100,-86,100,-92,-53,100,100,2
28,2022-07-19-22:07:14,100,100,100,-86,-88,100,-94,100,100,-69,-97,-89,100,100,-94,-96,100,-90,-95,-85,-83,100,-91,-61,100,100,2
29,2022-07-19-22:07:19,100,100,100,-69,-91,100,-92,-97,100,-65,-82,-83,100,100,-94,-92,100,-81,-82,-82,-82,100,-92,-57,100,100,2
