index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-19:49:15,100,-83,-65,100,-88,100,-89,-91,-88,100,-97,100,100,-83,100,100,-76,-70,100,100,100,100,100,-97,100,58
1,2022-07-22-19:49:20,100,-84,-60,100,-88,100,-90,-82,-80,100,100,100,100,-83,100,100,-85,-65,100,100,100,100,100,100,100,58
2,2022-07-22-19:49:25,100,-83,-61,100,-83,100,-89,-77,-78,100,100,100,100,-85,100,100,-77,-83,100,100,100,100,100,100,100,58
3,2022-07-22-19:49:30,100,-94,-67,100,-87,100,-94,-92,-81,100,100,100,100,-96,100,100,-93,-83,100,100,100,100,100,100,100,58
4,2022-07-22-19:49:35,100,-87,-61,100,-83,100,-90,-77,-89,100,100,100,100,-85,100,100,-77,-63,100,100,100,100,100,100,100,58
5,2022-07-22-19:49:40,100,-88,-67,100,-88,100,-88,-92,-82,100,100,100,100,-96,100,100,-92,-83,100,100,100,100,100,-99,100,58
6,2022-07-22-19:49:45,100,-81,-62,100,-88,100,-88,-85,-80,100,-95,100,100,-84,100,100,-76,-64,100,100,100,100,100,100,100,58
7,2022-07-22-19:49:50,100,-84,-61,100,-84,100,-88,-77,-88,100,100,100,100,-85,100,100,-77,-63,100,100,100,100,100,100,100,58
8,2022-07-22-19:49:55,100,-81,-62,100,-89,100,-88,-85,-79,100,100,100,100,-84,100,100,-75,-64,100,100,100,100,100,100,100,58
9,2022-07-22-19:50:00,100,-86,-61,100,-83,100,-89,-77,-88,100,100,100,100,-85,100,100,-77,-64,100,100,100,100,100,100,100,58
10,2022-07-22-19:50:05,100,-86,-67,100,-88,100,100,-91,-82,100,100,100,100,-86,100,100,-91,-84,100,100,100,100,100,100,100,58
11,2022-07-22-19:50:10,100,-81,-62,100,-89,100,-88,-85,-79,100,100,100,100,-84,100,100,-76,-64,100,100,100,100,100,100,100,58
12,2022-07-22-19:50:15,100,100,-67,100,-87,100,100,-92,-82,100,100,100,100,-97,100,100,-92,-84,100,100,100,100,100,100,100,58
13,2022-07-22-19:50:20,100,-81,-62,100,-89,100,-88,-85,-79,100,100,100,100,-84,100,100,-76,-64,100,100,100,100,100,100,100,58
14,2022-07-22-19:50:25,100,-86,-60,100,-83,100,-89,-77,-89,100,100,100,100,-86,100,100,-77,-63,100,100,100,100,100,100,100,58
15,2022-07-22-19:50:30,100,-96,-67,100,-87,100,-96,-92,-80,100,100,100,100,-84,100,100,-94,-84,100,100,100,100,100,-98,100,58
16,2022-07-22-19:50:35,100,-87,100,100,-83,100,-89,-77,-89,100,100,100,100,-85,100,100,-77,100,100,100,100,100,100,100,100,58
17,2022-07-22-19:50:40,100,-86,-66,100,-89,100,-90,-92,-82,100,100,100,100,-86,100,100,-91,-83,100,100,100,100,100,100,100,58
18,2022-07-22-19:50:45,100,-82,-62,100,-89,100,-87,-85,-79,100,100,100,100,-84,100,100,-76,-64,100,100,100,100,100,100,100,58
19,2022-07-22-19:50:50,100,-86,-61,100,-83,100,-90,-77,-89,100,100,100,100,-85,100,100,-77,-63,100,100,100,100,100,100,100,58
20,2022-07-22-19:50:55,100,100,-62,100,-83,100,100,-77,-90,100,100,100,100,-86,100,100,-76,-64,100,100,100,100,100,100,100,58
21,2022-07-22-19:51:00,100,-85,-61,100,-83,100,-88,-77,-89,100,100,100,100,-87,100,100,-77,-63,100,100,100,100,100,100,100,58
22,2022-07-22-19:51:05,100,-86,100,100,-84,100,-90,-77,-89,100,100,100,100,-85,100,100,-78,100,100,100,100,100,100,100,100,58
23,2022-07-22-19:51:10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58
24,2022-07-22-19:51:15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58
25,2022-07-22-19:51:20,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58
26,2022-07-22-19:51:25,100,100,100,100,100,100,-87,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58
27,2022-07-22-19:51:30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58
28,2022-07-22-19:51:35,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58
29,2022-07-22-19:51:40,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58
30,2022-07-22-19:51:45,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58
31,2022-07-22-19:51:50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,58
