index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-22-14:19:14,-96,-69,-85,100,-82,-90,-96,-89,-76,100,-95,-96,-98,-98,100,-92,-62,-84,100,100,100,-95,100,-88,-93,51
1,2022-07-22-14:19:19,100,-77,-80,100,-77,100,-95,100,-78,100,100,100,100,-79,100,-90,-70,-84,100,100,100,100,100,-85,-92,51
2,2022-07-22-14:19:24,100,-80,-80,100,-80,100,-92,-97,-69,100,100,100,100,-89,100,-86,-70,-83,100,100,100,100,100,-79,-91,51
3,2022-07-22-14:19:29,100,100,100,100,100,100,-93,100,100,100,100,100,100,-90,100,-86,-66,100,100,100,100,100,100,-79,100,51
4,2022-07-22-14:19:34,100,-78,-80,100,-78,100,100,100,-78,100,100,100,100,-80,100,100,-70,-82,100,100,100,100,100,-86,100,51
5,2022-07-22-14:19:39,-99,-80,-90,100,-75,100,-92,100,-72,100,100,100,100,-75,100,-86,-65,-87,100,100,100,100,100,-80,-92,51
6,2022-07-22-14:19:44,100,-77,-78,100,-71,100,-93,-92,-70,100,100,100,100,-80,100,-88,-70,-81,100,100,100,100,100,-88,-95,51
7,2022-07-22-14:19:49,100,-78,-80,100,-77,100,100,-95,-71,100,100,100,100,-81,100,100,-71,-82,100,100,100,100,100,-89,100,51
8,2022-07-22-14:19:54,-97,-83,-77,100,-76,100,100,100,-62,100,100,100,100,-78,100,-88,-62,-79,100,100,100,100,100,-90,100,51
9,2022-07-22-14:19:59,100,-78,-79,100,-82,100,100,-94,-91,100,100,100,100,-82,100,-89,-72,-82,100,100,100,100,100,-85,100,51
10,2022-07-22-14:20:04,100,-86,-76,100,-75,100,-94,-91,-61,100,100,100,100,-82,-97,-88,-66,-79,100,100,100,100,100,-86,-98,51
11,2022-07-22-14:20:09,100,-83,-80,100,-76,100,100,100,-63,100,100,100,100,-76,100,-90,-63,-79,100,100,100,100,100,-90,100,51
12,2022-07-22-14:20:14,-97,-84,-85,100,-73,100,-99,100,-66,100,100,100,100,-83,100,-88,-65,-80,100,100,100,100,100,-78,100,51
13,2022-07-22-14:20:19,100,-82,-78,100,-73,100,100,-96,-63,100,100,100,100,-76,100,-88,-63,-79,100,100,100,100,100,-86,-95,51
14,2022-07-22-14:20:24,100,-84,-86,100,-77,100,100,-93,-79,100,100,100,100,-82,100,100,-68,-80,100,100,100,100,100,-88,100,51
