index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
0,2022-07-19-16:48:54,100,-85,-67,-98,-94,100,-87,-82,-80,-94,-92,-96,100,100,-90,-87,100,-90,-68,-88,-95,100,-92,-92,-88,100,29
1,2022-07-19-16:48:59,100,-90,-68,-79,-78,100,-78,-76,-65,-87,-91,-84,100,100,-76,-89,100,-77,-61,100,100,100,100,-86,-97,100,29
2,2022-07-19-16:49:04,100,100,-66,-79,-84,100,-87,100,-85,-90,100,100,100,100,100,100,100,100,-64,100,-90,100,100,100,100,100,29
3,2022-07-19-16:49:09,100,-91,-69,-81,-79,100,-76,-78,-68,-88,100,-81,100,100,-78,-91,100,-73,-65,100,-91,100,100,-87,-93,100,29
4,2022-07-19-16:49:14,100,-82,-64,-83,-83,100,-84,-75,-82,-84,-92,-82,100,100,-75,-84,100,-70,-60,100,-92,100,100,-87,100,100,29
5,2022-07-19-16:49:19,100,-94,-66,-96,-86,100,-84,-81,-80,-84,100,-84,100,100,-79,-92,100,-71,-65,100,-92,100,100,-90,100,100,29
6,2022-07-19-16:49:24,100,-96,-66,100,100,100,-84,-76,-85,-84,100,-83,100,100,-76,100,100,100,-59,100,100,100,100,100,100,100,29
7,2022-07-19-16:49:29,100,-82,-64,-98,-84,100,-85,-80,-82,-83,-92,-83,100,100,-79,-83,100,-70,-64,100,-92,100,-92,-87,100,100,29
8,2022-07-19-16:49:34,100,-97,-70,-81,-78,100,-76,-76,-68,-88,100,-82,100,100,-80,-89,100,-74,-65,100,-91,100,100,-88,100,100,29
9,2022-07-19-16:49:39,100,-82,-64,-89,-83,100,-85,-76,-72,-83,-92,-81,100,100,-76,-82,100,-69,-60,100,-94,100,100,-87,100,100,29
10,2022-07-19-16:49:44,100,-82,-64,-89,-82,100,-86,100,-72,-83,100,-82,100,100,-76,-83,100,100,-60,100,-94,100,100,100,100,100,29
11,2022-07-19-16:49:49,100,-91,-64,-81,-82,100,-85,-76,-72,-87,-93,-81,100,100,-77,-90,100,-69,-60,100,-92,100,-95,-88,100,100,29
12,2022-07-19-16:49:54,100,-82,-66,-97,-85,100,-84,-81,-84,-84,-92,-82,100,100,-79,-90,100,-70,-65,-91,-91,100,100,-87,100,100,29
13,2022-07-19-16:49:59,100,-91,-70,-81,-78,100,-76,-77,-68,-84,-93,-82,100,100,-80,-90,100,-74,-66,100,-93,100,-97,-88,-98,100,29
14,2022-07-19-16:50:04,100,-92,-70,-81,100,100,100,-76,-68,-86,-94,-82,100,100,-80,-90,100,-74,-66,100,100,100,100,-88,-97,100,29
15,2022-07-19-16:50:09,100,-98,-66,-95,-84,100,-84,-80,-83,-84,100,-81,100,100,-80,-90,100,-70,-65,-92,-92,100,100,100,100,100,29
16,2022-07-19-16:50:14,100,-82,-64,-90,-83,100,-85,-75,-72,-83,-94,-82,100,100,-76,-82,100,-69,-60,100,-93,100,100,-88,100,100,29
17,2022-07-19-16:50:19,100,-95,-66,-96,-84,100,-84,-81,-84,-84,-100,-82,100,100,-79,-90,100,-70,-65,-92,-92,100,100,-87,100,100,29
18,2022-07-19-16:50:24,100,-95,-66,-94,-85,100,-84,-81,-83,-84,-97,-82,100,100,-79,-90,100,-70,-65,-91,-91,100,100,100,100,100,29
19,2022-07-19-16:50:29,100,-82,-64,-90,-82,100,-85,-76,-72,-83,-93,-81,100,100,-77,-82,100,-69,-60,100,100,100,100,-88,100,100,29
20,2022-07-19-16:50:34,100,-97,-66,-81,-79,100,-76,-81,-84,-84,100,-82,100,100,-79,-89,100,-74,-65,-91,-91,100,100,-87,100,100,29
21,2022-07-19-16:50:39,100,-82,-64,-91,-82,100,-85,-77,-72,-83,-92,-82,100,100,-76,-82,100,-69,-60,100,-93,100,100,-87,100,100,29
22,2022-07-19-16:50:44,100,-82,-64,-91,-83,100,-86,-76,-72,-83,-93,-82,100,100,-77,-82,100,-69,-60,100,-95,100,100,-88,100,100,29
23,2022-07-19-16:50:49,100,-92,-70,-81,-78,100,-76,-76,-68,-88,-93,-82,100,100,-80,-89,100,-74,-66,100,-92,100,100,-88,100,100,29
24,2022-07-19-16:50:54,100,-82,-64,-91,-84,100,-85,-76,-72,-83,-93,-82,100,100,-76,-82,100,-69,-60,100,100,100,100,-88,-95,100,29
25,2022-07-19-16:50:59,100,-96,-66,-81,-78,100,-76,-77,-67,-86,100,-82,100,100,-80,-90,100,-70,-65,-92,-91,100,100,100,100,100,29
26,2022-07-19-16:51:04,100,-92,-70,-81,-78,100,-77,-77,-68,-88,-93,-82,100,100,-79,-89,100,-74,-66,100,-93,100,100,100,-96,100,29
27,2022-07-19-16:51:09,100,100,-66,100,-84,100,-84,-80,-83,-84,100,-82,100,100,-78,-91,100,-70,-65,-92,-92,100,100,-97,100,100,29
28,2022-07-19-16:51:14,100,-86,-70,-81,-78,100,-77,-77,-68,-88,-94,-81,100,100,-79,-91,100,-74,-66,100,-93,100,100,-88,-94,100,29
29,2022-07-19-16:51:19,100,-82,-66,-92,-82,100,-88,-76,-72,-86,-94,-82,100,100,-76,-89,100,-70,-64,100,-96,100,100,-93,100,100,29
30,2022-07-19-16:51:24,100,-95,-66,100,-85,100,-83,-81,-83,-89,100,-84,100,100,-79,-90,100,-70,-65,-91,-96,100,-89,100,100,100,29
31,2022-07-19-16:51:29,100,-82,-64,-90,-83,100,-86,-76,-72,-82,-92,-85,100,100,-76,-84,100,-69,-59,100,100,100,100,100,100,100,29
32,2022-07-19-16:51:34,100,-81,-66,-91,-82,100,-84,-81,-83,-86,-93,-84,100,100,-78,-96,100,-70,-65,-93,-93,100,100,100,100,100,29
33,2022-07-19-16:51:39,100,-85,-64,-82,-78,100,-76,-77,-67,-88,-93,-82,100,100,-79,-90,100,-74,-64,100,-92,100,100,-87,-93,100,29
34,2022-07-19-16:51:44,100,-82,-64,-90,-82,100,-86,-76,-72,-82,-92,-82,100,100,-76,-83,100,-69,-60,100,-94,100,100,-87,100,100,29
35,2022-07-19-16:51:49,100,-92,-70,-81,-78,100,-76,-77,-68,-87,-93,-82,100,100,-79,-90,100,-74,-66,100,100,100,100,100,-95,100,29
36,2022-07-19-16:51:54,100,-82,-64,-90,-83,100,-85,-75,-72,-83,100,-82,100,100,-76,-84,100,-69,-60,100,-92,100,100,-88,100,100,29
37,2022-07-19-16:51:59,100,-81,-66,-97,-84,100,-84,-81,-83,-89,-93,-86,100,100,-78,-85,100,-71,-64,-91,-94,100,-94,-96,100,100,29
38,2022-07-19-16:52:04,100,-91,-69,-83,-79,100,-76,-77,-67,-87,-96,-83,100,100,-78,-92,100,-74,-66,100,-92,100,100,-90,-96,100,29
39,2022-07-19-16:52:09,100,-95,-66,100,-85,100,-84,-81,-83,-84,100,-82,100,100,-79,-90,100,-70,-65,100,-91,100,100,100,100,100,29
40,2022-07-19-16:52:14,100,100,-70,-81,-78,100,-76,-76,-67,-88,-94,-82,100,100,-80,-90,100,-74,-66,100,-93,100,100,-87,100,100,29
41,2022-07-19-16:52:19,100,-82,-65,-90,-83,100,-85,-76,-72,-83,-93,-82,100,100,-77,-83,100,-69,-60,100,-94,100,100,-88,100,100,29
42,2022-07-19-16:52:24,100,-96,-66,-95,-84,100,-84,-80,-83,-84,-99,-82,100,100,-79,-91,100,-70,-65,-91,-91,100,100,-87,100,100,29
43,2022-07-19-16:52:29,100,-82,-64,100,100,100,-85,-75,-72,-83,-93,-82,100,100,-76,-83,100,-69,-60,100,100,100,100,100,100,100,29
44,2022-07-19-16:52:34,100,-97,-66,-96,-85,100,-84,-81,-83,-84,-92,-82,100,100,-78,-90,100,-70,-64,-91,-91,100,100,-89,100,100,29
