index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,classification
18,2022-07-17-15:54:23,100,100,100,-72,-94,100,-81,100,100,-62,-81,100,100,100,100,-90,100,100,-88,-87,-85,100,-85,-58,100,100,1
19,2022-07-17-15:54:28,100,100,100,-83,-88,100,-85,100,100,-75,-83,100,100,100,100,-97,100,-94,-94,-92,-84,100,-87,-59,100,100,1
20,2022-07-17-15:54:33,100,100,100,-71,-88,100,-87,-91,100,-65,-86,100,100,100,100,-80,100,-83,-91,-83,-85,100,-90,-56,100,100,1
21,2022-07-17-15:54:38,100,100,100,-69,-86,100,-80,-91,100,-61,-81,-95,100,100,-90,-80,100,-86,-87,-83,-84,100,-85,-56,100,100,1
22,2022-07-17-15:54:43,100,100,100,-80,-89,100,-86,100,100,-70,-86,100,100,100,-95,-93,100,-93,-87,-83,-83,100,-87,-59,100,100,1
23,2022-07-17-15:54:48,100,100,100,-67,-87,100,-85,-92,100,-64,-81,100,100,100,100,-83,100,-88,-88,-83,-90,100,-83,-56,100,100,1
24,2022-07-17-15:54:53,100,100,100,-69,-88,100,-85,100,100,-72,-81,-94,100,100,100,-86,100,-85,-91,-83,-90,100,-87,-56,100,100,1
25,2022-07-17-15:55:04,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1
26,2022-07-17-15:55:25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1
27,2022-07-17-15:55:31,100,100,100,-70,-87,100,-83,-90,100,-84,100,100,100,100,-93,-83,100,-82,-91,-80,-93,100,-92,-56,100,100,1
28,2022-07-17-15:55:35,100,100,100,-73,-85,100,-81,100,100,-62,-87,-94,100,100,-93,-86,100,-88,-88,-84,-86,100,-85,-56,100,100,1
29,2022-07-17-15:55:40,100,100,100,-84,-89,100,-84,100,-98,-83,-87,100,100,100,-97,-91,100,-90,-96,-91,-83,100,-88,-59,100,100,1
30,2022-07-17-15:55:45,100,100,100,-69,100,100,-85,-90,100,-65,-84,100,100,100,100,-81,100,100,-90,-81,-91,100,-85,-56,100,100,1
31,2022-07-17-15:55:50,100,100,100,-86,-87,100,-84,-97,100,-78,-88,100,100,100,100,-92,100,-91,-96,-91,-82,100,-88,-60,100,100,1
32,2022-07-17-15:55:55,100,100,100,-69,-86,100,-85,-90,100,-64,-83,100,100,100,100,-82,100,-87,-89,-82,-88,100,-87,-56,100,100,1
33,2022-07-17-15:56:00,100,100,100,-71,-86,100,-81,-90,100,-62,-85,-96,100,100,-93,-88,100,-93,-87,-86,-85,100,-85,-56,100,100,1
34,2022-07-17-15:56:05,100,100,100,-84,-88,100,-84,100,100,-81,-88,100,100,100,-92,-93,100,-91,-94,100,-82,100,-84,-60,100,100,1
35,2022-07-17-15:56:10,100,100,100,-72,100,100,-81,100,100,-63,-83,100,100,100,100,-86,100,100,100,-85,-83,100,-85,100,100,100,1
36,2022-07-17-15:56:15,100,100,100,-83,-88,100,-83,100,100,-77,-91,100,100,100,-92,-97,100,-92,-94,-94,-83,100,-86,-60,100,100,1
37,2022-07-17-15:56:20,100,100,100,-68,-87,100,-85,-90,100,-67,-83,-94,100,100,-101,-82,100,-85,-88,-80,-90,100,-85,-56,100,100,1
38,2022-07-17-15:56:25,100,100,100,-73,-87,100,-81,-90,100,-62,-83,-96,100,100,-91,-89,100,-92,-87,-84,-86,100,-83,-56,100,100,1
39,2022-07-17-15:56:30,100,100,100,-73,100,100,100,100,100,100,-86,100,100,100,100,-81,100,100,-88,-80,100,100,-86,-56,100,100,1
40,2022-07-17-15:56:35,100,100,100,-73,-86,100,-81,-90,100,-62,-82,-92,100,100,-92,-81,100,-85,-88,-84,-85,100,-84,-56,100,100,1
41,2022-07-17-15:56:40,100,100,100,-89,-88,100,-84,-93,100,-80,-91,-95,100,100,-97,-93,100,-91,-96,-92,-84,100,-87,-60,100,100,1
42,2022-07-17-15:56:45,100,100,100,-69,-86,100,-84,-90,100,-66,-85,-94,100,100,-97,-81,100,-87,-88,-80,-88,100,-85,-56,100,100,1
43,2022-07-17-15:56:50,100,100,100,-69,100,100,-84,-90,100,100,-88,100,100,100,-96,-94,100,-87,-89,-80,100,100,-85,-55,100,100,1
44,2022-07-17-15:56:55,100,100,100,-68,-86,100,-83,-89,100,-65,-82,100,100,100,-98,-81,100,-92,-97,100,-90,100,-85,-55,100,100,1
45,2022-07-17-15:57:00,100,100,100,-74,-85,100,-81,-90,100,-63,-81,100,100,100,-92,-87,100,-87,-88,-84,-85,100,-84,-56,100,100,1
46,2022-07-17-15:57:05,100,100,100,-89,-89,100,-83,100,100,-77,-87,100,100,100,-93,-93,100,-91,-96,-95,-83,100,-87,-60,100,100,1
47,2022-07-17-15:57:10,100,100,100,100,100,100,-82,100,100,100,100,100,100,100,100,-92,100,100,100,-93,100,100,-86,-60,100,100,1
48,2022-07-17-15:57:15,100,100,100,-71,-88,100,-83,100,100,-83,-88,100,100,100,-98,-92,100,-95,-87,-82,-83,100,-84,-56,100,100,1
49,2022-07-17-15:57:20,100,100,100,-68,-86,100,-84,-90,100,-66,-83,100,100,100,-97,-81,100,-86,-88,-80,-89,100,-85,-55,100,100,1
50,2022-07-17-15:57:25,100,100,100,-71,100,100,-80,-90,100,-64,-80,-96,100,100,-92,-88,100,-95,-88,-83,-86,100,-84,-57,100,100,1
51,2022-07-17-15:57:30,100,100,100,-71,100,100,-81,100,100,100,-80,100,100,100,100,-87,100,100,-89,-83,-87,100,-83,-57,100,100,1
52,2022-07-17-15:57:36,100,100,100,-69,-88,100,-88,100,100,-69,-80,-90,100,100,100,-88,100,-82,100,-82,-88,100,-88,-56,100,100,1
53,2022-07-17-15:57:40,100,100,100,-70,-86,100,-84,-92,100,-77,-84,-92,100,100,-94,-84,100,-90,-88,-82,-86,100,-86,-62,100,100,1
54,2022-07-17-15:57:45,100,100,100,-72,100,100,-85,100,100,-70,-92,100,100,100,100,100,100,-92,-86,-82,-87,100,-88,-61,100,100,1
55,2022-07-17-15:57:50,100,100,100,-72,100,100,-85,100,100,-70,-92,100,100,100,100,100,100,-92,-86,-82,-87,100,-88,-61,100,100,1
56,2022-07-17-15:57:56,100,100,100,-72,100,100,-85,100,100,-70,-92,100,100,100,100,100,100,-92,-86,-82,-87,100,-88,-61,100,100,1
57,2022-07-17-15:58:01,100,100,100,-72,100,100,-85,100,100,-70,-92,100,100,100,100,100,100,-92,-86,-82,-87,100,-88,-61,100,100,1
58,2022-07-17-15:58:06,100,100,100,-72,100,100,-85,100,100,-70,-92,100,100,100,100,100,100,-92,-86,-82,-87,100,-88,-61,100,100,1
59,2022-07-17-15:58:11,100,100,100,-72,100,100,-85,100,100,-70,-92,100,100,100,100,100,100,-92,-86,-82,-87,100,-88,-61,100,100,1
