index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5,,-82.7
0,2022-07-23-15:12:39,-94,-85,100,100,-87,-66,100,100,100,100,100,100,-84,-76,-96,100,-77,-98,100,100,100,-92,100,100,-88,-75,,
1,2022-07-23-15:12:44,-79,-80,100,100,-80,-60,100,100,100,100,100,100,100,-92,-95,100,-76,100,100,100,100,-81,100,100,-75,-58,,
2,2022-07-23-15:12:49,-81,-80,100,100,-83,-60,100,100,100,100,100,100,-79,-76,-96,100,-73,100,100,100,100,-79,100,100,-81,-68,,
3,2022-07-23-15:12:54,-91,-81,100,100,-85,-65,100,100,100,100,100,100,-84,-80,100,100,-76,100,100,100,100,-80,100,100,-75,-67,,
4,2022-07-23-15:12:59,-86,-73,100,100,-79,-61,100,100,100,100,100,100,-81,-90,100,100,-75,100,100,100,100,-81,100,100,-74,-69,,
5,2022-07-23-15:13:04,-81,-73,100,100,-79,-61,100,100,100,100,100,100,-89,-82,100,100,-84,100,100,100,100,-86,100,100,-89,-69,,
6,2022-07-23-15:13:09,-80,-85,100,100,100,-71,100,100,100,100,100,100,-81,-76,100,100,-82,100,100,100,100,100,100,100,-75,-67,,
7,2022-07-23-15:13:14,-79,-73,100,100,-86,-62,100,100,100,100,100,100,-81,-93,100,100,-80,100,100,100,100,100,100,100,-76,-59,,
8,2022-07-23-15:13:19,-79,-77,100,100,-86,-62,100,100,100,100,100,100,-82,-91,100,100,-79,100,100,100,100,-86,100,100,-81,-67,,
9,2022-07-23-15:13:24,-79,-73,100,100,-87,-62,100,100,100,100,100,100,-81,-92,100,100,-79,100,100,100,100,100,100,100,-76,-58,,
10,2022-07-23-15:13:29,-79,-77,100,100,-78,-61,100,100,100,100,100,100,-79,-90,-94,100,-80,100,100,100,100,-87,100,100,-73,-58,,
11,2022-07-23-15:13:34,-97,-73,100,100,-87,-69,100,100,100,100,100,100,-79,-76,-94,100,-80,100,100,100,100,100,100,100,-73,-67,,
12,2022-07-23-15:13:39,-79,-77,100,100,-78,-69,100,100,100,100,100,100,-79,-76,100,100,-79,100,100,100,100,100,100,100,-73,-67,,
13,2022-07-23-15:13:44,-97,-73,100,100,100,-61,100,100,100,100,100,100,-82,-91,-96,100,-80,100,100,100,100,100,100,100,-76,-58,,
14,2022-07-23-15:13:49,-79,-73,100,100,-78,-61,100,100,100,100,100,100,-82,-76,-96,100,-71,100,100,100,100,-86,100,100,-81,-58,,
15,2022-07-23-15:13:54,100,-80,100,100,-78,-69,100,100,100,100,100,100,-82,-92,-96,100,-80,100,100,100,100,100,100,100,-73,-58,,
16,2022-07-23-15:13:59,-82,-79,100,100,-88,-61,100,100,100,100,100,100,-84,-88,-93,100,-80,100,100,100,100,100,100,100,-75,-58,,
17,2022-07-23-15:14:04,-87,-76,100,100,-80,-72,100,100,100,100,100,100,-81,-88,-94,100,-71,100,100,100,100,100,100,100,-79,-58,,
18,2022-07-23-15:14:09,-79,-80,100,100,-79,-61,100,100,100,100,100,100,-82,-76,100,100,-78,100,100,100,100,100,100,100,-77,-66,,
19,2022-07-23-15:14:14,-82,-77,100,100,-85,-69,100,100,100,100,100,100,-82,100,100,100,-79,100,100,100,100,100,100,100,-73,-70,,
20,2022-07-23-15:14:19,-83,-77,100,100,-78,-69,100,100,100,100,100,100,-81,-87,100,100,-80,100,100,100,100,-85,100,100,-73,-71,,
21,2022-07-23-15:14:24,-79,-80,100,100,-86,-69,100,100,100,100,100,100,-79,-92,-96,100,-80,100,100,100,100,-88,100,100,-81,-71,,
22,2022-07-23-15:14:29,-79,-80,100,100,-77,-61,100,100,100,100,100,100,-81,-76,100,100,-71,100,100,100,100,100,100,100,-73,-71,,
23,2022-07-23-15:14:34,-79,-73,100,100,-87,-61,100,100,100,100,100,100,-82,-76,100,100,-79,100,100,100,100,100,100,100,-76,-58,,
24,2022-07-23-15:14:39,-97,-77,100,100,-78,-69,100,100,100,100,100,100,-79,-76,100,100,-80,100,100,100,100,100,100,100,-73,-70,,
