index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-11:08:02,100,-95,-97,-94,-89,100,-95,-91,100,-88,-96,-75,100,100,-90,-76,100,-83,-82,-86,-90,100,-68,-80,100,100
1,2022-07-22-11:08:07,100,100,100,-75,-85,100,-83,-93,100,-78,-93,-74,100,100,-92,-75,100,-82,-88,-76,-85,100,-72,-84,100,100
2,2022-07-22-11:08:12,100,100,100,-75,100,100,-85,-95,100,-88,-83,-62,100,100,-94,-86,100,-80,-84,-74,-86,100,-85,-84,100,100
3,2022-07-22-11:08:17,100,100,100,-77,-86,100,100,100,100,-82,-86,-73,100,100,-86,-75,100,-77,100,-75,-77,100,-73,-84,100,100
4,2022-07-22-11:08:22,100,100,100,-77,-86,100,-84,100,100,-80,-85,-60,100,100,-86,-77,100,-77,-93,-75,-86,100,-74,100,100,100
5,2022-07-22-11:08:27,100,100,100,-77,-83,100,-85,100,100,-80,-86,-62,100,100,-91,-76,100,-81,-82,-75,-86,100,-79,-85,100,100
6,2022-07-22-11:08:32,100,100,100,-78,-85,100,-87,-90,100,-91,-86,-72,100,100,-86,-79,100,-79,-81,-75,-77,100,-79,100,100,100
7,2022-07-22-11:08:37,100,100,100,-76,-92,100,-94,100,100,-80,-86,-73,100,100,-87,-76,100,-83,-93,-70,-85,100,-79,100,100,100
8,2022-07-22-11:08:42,100,100,100,-76,-86,100,-84,-90,100,-80,-86,-73,100,100,-91,-78,100,-82,-83,-75,-86,100,-79,-85,100,100
9,2022-07-22-11:08:47,100,100,100,-76,-86,100,-85,100,100,-92,-86,-73,100,100,-92,-76,100,-82,-81,-79,-86,100,-79,100,100,100
10,2022-07-22-11:08:52,100,100,100,-78,-86,100,-90,100,100,-88,-89,-62,100,100,-86,-76,100,-77,-83,-79,-86,100,-71,100,100,100
11,2022-07-22-11:08:57,100,100,100,-81,-86,100,-85,-90,100,-92,-85,-73,100,100,-86,-78,100,-80,-81,-70,-84,100,-79,100,100,100
12,2022-07-22-11:09:02,100,100,100,-79,-85,100,-93,-91,100,-82,-86,-73,100,100,-91,-78,100,-77,-84,-69,-75,100,-80,-87,100,100
13,2022-07-22-11:09:07,100,100,100,-76,-86,100,-93,100,100,-80,-84,-60,100,100,-86,-79,100,-79,-82,-75,-81,100,-71,-85,100,100
14,2022-07-22-11:09:12,100,100,100,-76,-83,100,-86,-91,100,-93,-82,-73,100,100,-86,-76,100,-82,-82,-71,-82,100,-71,-85,100,100
15,2022-07-22-11:09:17,100,100,100,-76,-85,100,-86,100,100,-93,-82,-60,100,100,-86,-78,100,-82,-83,-71,-76,100,-79,-91,100,100
16,2022-07-22-11:09:22,100,100,100,-78,-85,100,-93,100,100,-79,-90,-73,100,100,-86,-79,100,-77,-92,-76,-76,100,-81,-83,100,100
17,2022-07-22-11:09:27,100,100,100,-79,-85,100,-86,100,100,-91,-83,-73,100,100,-86,-78,100,-82,-92,-82,-94,100,-79,-86,100,100
18,2022-07-22-11:09:32,100,100,100,-76,-85,100,-86,-96,100,-91,-89,-61,100,100,-91,-76,100,-82,-80,-75,-82,100,-79,-85,100,100
19,2022-07-22-11:09:37,100,100,100,-78,-86,100,-86,-91,100,-90,-88,-61,100,100,-86,-75,100,-79,-81,-71,-77,100,-71,100,100,100
20,2022-07-22-11:09:42,100,100,100,-78,-86,100,-87,100,100,-90,100,-61,100,100,-86,-80,100,-81,-80,-77,-76,100,-79,-85,100,100
21,2022-07-22-11:09:47,100,100,100,-78,-86,100,-87,-97,100,-80,-87,-61,100,100,-86,-76,100,-78,-81,-71,-77,100,-71,-86,100,100
22,2022-07-22-11:09:52,100,100,100,-78,-86,100,-87,100,100,-80,-84,-61,100,100,-90,-76,100,-79,-80,-71,-77,100,-72,-89,100,100
23,2022-07-22-11:09:57,100,100,100,-76,-85,100,-92,-91,100,-80,-84,-72,100,100,-86,-76,100,-78,-81,-77,-83,100,-71,-86,100,100
24,2022-07-22-11:10:02,100,100,100,-78,-85,100,100,-91,100,-92,-83,-62,100,100,-86,-78,100,-79,-81,-79,-77,100,-78,-85,100,100
25,2022-07-22-11:10:07,100,100,100,-76,-86,100,-86,-97,100,-79,-83,-76,100,100,-86,-75,100,-81,-92,-72,-83,100,-80,-85,100,100
26,2022-07-22-11:10:12,100,100,100,-78,-83,100,-93,-91,100,-79,-89,-61,100,100,-91,-78,100,-78,-82,-75,-84,100,-71,-84,100,100
27,2022-07-22-11:10:17,100,100,100,-75,-85,100,-86,100,100,-80,-83,-61,100,100,-90,-77,100,-79,-81,-81,-77,100,-78,-85,100,100
28,2022-07-22-11:10:22,100,100,100,-76,-83,100,-84,100,100,-93,-85,-61,100,100,-86,-78,100,-77,-94,-70,-77,100,-78,-91,100,100
29,2022-07-22-11:10:27,100,100,100,-76,-86,100,-84,-90,100,-80,-86,-61,100,100,-86,-80,100,-82,-81,-70,-77,100,-78,-85,100,100
30,2022-07-22-11:10:32,100,100,100,-76,-86,100,-89,100,100,-80,-83,-61,100,100,-86,-78,100,-82,-81,-74,-77,100,-71,-85,100,100
31,2022-07-22-11:10:37,100,100,100,-76,-83,100,-84,-90,100,-80,-83,-61,100,100,-91,-79,100,-82,-94,-70,-77,100,-79,-85,100,100
32,2022-07-22-11:10:42,100,100,100,-76,-83,100,-84,100,100,-80,-82,-74,100,100,-86,-78,100,-82,-81,-70,-86,100,-79,-91,100,100
